"Time","Fit_values"
0,1
0.0166666666666667,0.964782382713361
0.0333333333333333,0.929535630876748
0.05,0.893007126530274
0.0666666666666667,0.857810410785612
0.0833333333333333,0.823731918255081
0.1,0.790965876715968
0.116666666666667,0.759467476946769
0.133333333333333,0.729193104472543
0.15,0.700071452383586
0.166666666666667,0.671973660591113
0.183333333333333,0.644984937440362
0.2,0.619065952568148
0.216666666666667,0.59417849664989
0.233333333333333,0.570285463765542
0.25,0.547350833088069
0.266666666666667,0.525206616035496
0.283333333333333,0.503851736792643
0.3,0.483343908926429
0.316666666666667,0.463653995968002
0.333333333333333,0.444753551289845
0.35,0.426614820306795
0.366666666666667,0.409210741167518
0.383333333333333,0.392514944050625
0.4,0.376501749174461
0.416666666666667,0.361146163624528
0.433333333333333,0.346373809601609
0.45,0.332205567384397
0.466666666666667,0.318626042582281
0.483333333333333,0.305612975913312
0.5,0.293144751082189
0.516666666666667,0.281200387780976
0.533333333333333,0.269759534014617
0.55,0.25880245782074
0.566666666666667,0.248310038448975
0.583333333333333,0.238263757060788
0.6,0.228645687006766
0.616666666666667,0.219438483734275
0.633333333333333,0.210625374374565
0.65,0.202190147054628
0.666666666666667,0.194117139975545
0.683333333333333,0.186391230295537
0.7,0.178997822852697
0.716666666666667,0.171922838759147
0.733333333333333,0.165152703895477
0.75,0.158674337331454
0.766666666666667,0.152475139696448
0.783333333333333,0.146542981520561
0.8,0.140866191565284
0.816666666666667,0.135433545160499
0.833333333333333,0.130234252562825
0.85,0.125257947348768
0.866666666666667,0.120494674854741
0.883333333333333,0.115934880674833
0.9,0.111569399226242
0.916666666666667,0.107389442391472
0.933333333333333,0.103386588245783
0.95,0.099552769877867
0.966666666666667,0.0958802643114313
0.983333333333333,0.0923616815351081
1,0.0889899536480128
1.01666666666667,0.0857583241282178
1.03333333333333,0.0826603372314293
1.05,0.0796898275272013
1.06666666666667,0.0768409095800961
1.08333333333333,0.0741079677832652
1.1,0.0714856463519781
1.11666666666667,0.0689688394846419
1.13333333333333,0.0665526816988306
1.15,0.0642325383497548
1.16666666666667,0.0620039963384577
1.18333333333333,0.0598628550168046
1.2,0.0578051172960452
1.21666666666667,0.0558269809653639
1.23333333333333,0.0539248302264066
1.25,0.0520952274492682
1.26666666666667,0.0503349051548741
1.28333333333333,0.048640758228069
1.3,0.0470098363650779
1.31666666666667,0.0454393367583059
1.33333333333333,0.0439265970207261
1.35,0.0424690883513719
1.36666666666667,0.0410644089427049
1.38333333333333,0.0397102776298919
1.4,0.0384045277812958
1.41666666666667,0.0371451014287791
1.43333333333333,0.0359300436357321
1.45,0.0347574971000977
1.46666666666667,0.0336256969890469
1.48333333333333,0.0325329660014009
1.5,0.0314777096533701
1.51666666666667,0.0304584424910273
1.53333333333333,0.029473867415794
1.55,0.0285227656148306
1.56666666666667,0.0276039619609713
1.58333333333333,0.0267163234295801
1.6,0.0258587575729962
1.61666666666667,0.0250302110504752
1.63333333333333,0.0242296682116144
1.65,0.0234561497313186
1.66666666666667,0.0227087112944359
1.68333333333333,0.0219864423282572
1.7,0.0212884647811424
1.71666666666667,0.0206139319455943
1.73333333333333,0.0199620273241659
1.75,0.0193319635366428
1.76666666666667,0.0187229812669991
1.78333333333333,0.01813434824868
1.8,0.0175653582868161
1.81666666666667,0.0170153303160249
1.83333333333333,0.0164836074925047
1.85,0.0159695563191711
1.86666666666667,0.0154725658026327
1.88333333333333,0.0149920466408472
1.9,0.0145274304403387
1.91666666666667,0.0140781689618994
1.93333333333333,0.0136437333937378
1.95,0.0132236136510727
1.96666666666667,0.0128173177012079
1.98333333333333,0.0124243709131599
2,0.0120443154309422
2.01666666666667,0.0116767095696435
2.03333333333333,0.0113211272334683
2.05,0.0109771573549383
2.06666666666667,0.0106444033544836
2.08333333333333,0.0103224826196779
2.1,0.0100110260034022
2.11666666666667,0.00970967734024618
2.13333333333333,0.00941809298047967
2.15,0.00913594134095565
2.16666666666667,0.00886290247232448
2.18333333333333,0.00859866764196481
2.2,0.00834293893205729
2.21666666666667,0.00809542885224798
2.23333333333333,0.00785585996636904
2.25,0.0076239645327032
2.26666666666667,0.00739948415729758
2.28333333333333,0.00718216945985046
2.3,0.00697177975171175
2.31666666666667,0.00676808272555504
2.33333333333333,0.00657085415629497
2.35,0.00637987761283931
2.36666666666667,0.00619494418028032
2.38333333333333,0.00601585219214412
2.4,0.00584240697233101
2.41666666666667,0.0056744205863929
2.43333333333333,0.00551171160180709
2.45,0.00535410485691809
2.46666666666667,0.00520143123823091
2.48333333333333,0.00505352746575141
2.5,0.00491023588607979
2.51666666666667,0.00477140427297456
2.53333333333333,0.00463688563511434
2.55,0.00450653803079499
2.56666666666667,0.00438022438930924
2.58333333333333,0.00425781233876498
2.6,0.00413917404010752
2.61666666666667,0.00402418602711991
2.63333333333333,0.00391272905218299
2.65,0.00380468793758567
2.66666666666667,0.00369995143218315
2.68333333333333,0.00359841207320813
2.7,0.00349996605304753
2.71666666666667,0.0034045130908039
