formula,compound,isotopeLabel,Sample,IonCount,fraction.all
C5H9NO4,glutamate,O18-label-2,col009b2_T1,85777.78,0.089284264
C5H9NO4,glutamate,O18-label-3,col009b2_T1,7375.56,0.007677063
C5H9NO4,glutamate,O18-label-4,col009b2_T1,1454.27,0.001513719
C5H10N2O3,glutamine,C12 PARENT,col009b2_T1,521307.75,0.892143492
C5H10N2O3,glutamine,O18-label-1,col009b2_T1,51571.68,0.088257538
C5H10N2O3,glutamine,O18-label-2,col009b2_T1,11452.3,0.01959897
C5H10N2O3,glutamine,O18-label-3,col009b2_T1,0,0
C2H5NO2,glycine,C12 PARENT,col009b2_T1,16539.84,0.683832376
C2H5NO2,glycine,O18-label-1,col009b2_T1,6597.21,0.272758732
C2H5NO2,glycine,O18-label-2,col009b2_T1,1049.93,0.043408892
C6H9N3O2,histidine,C12 PARENT,col009b2_T1,256264.09,0.871462935
C6H9N3O2,histidine,O18-label-1,col009b2_T1,34397.39,0.116973277
C6H9N3O2,histidine,O18-label-2,col009b2_T1,3400.47,0.011563788
C6H13NO2,isoleucine,C12 PARENT,col009b2_T1,94294.77,0.711888595
C6H13NO2,isoleucine,O18-label-1,col009b2_T1,33669.11,0.254188598
C6H13NO2,isoleucine,O18-label-2,col009b2_T1,4493.32,0.033922807
C6H14N2O2,lysine,C12 PARENT,col009b2_T1,3602.07,0.636535209
C6H14N2O2,lysine,O18-label-1,col009b2_T1,1455.8,0.257259842
C6H14N2O2,lysine,O18-label-2,col009b2_T1,601,0.106204949
C5H11NO2S,methionine,C12 PARENT,col009b2_T1,6723.26,0.361690968
C5H11NO2S,methionine,O18-label-1,col009b2_T1,6830.42,0.36745585
C5H11NO2S,methionine,O18-label-2,col009b2_T1,5034.73,0.270853182
C9H11NO2,phenylalanine,C12 PARENT,col009b2_T1,305528.91,0.80677114
C9H11NO2,phenylalanine,O18-label-1,col009b2_T1,57426.24,0.151638132
C9H11NO2,phenylalanine,O18-label-2,col009b2_T1,15750.65,0.041590728
C5H9NO2,proline,C12 PARENT,col009b2_T1,209747.5,0.920949859
C5H9NO2,proline,O18-label-1,col009b2_T1,15036.44,0.066021322
C5H9NO2,proline,O18-label-2,col009b2_T1,2967.33,0.013028819
C3H7NO3,serine,C12 PARENT,col009b2_T1,2795.59,0.189657793
C3H7NO3,serine,O18-label-1,col009b2_T1,8633.22,0.585692983
C3H7NO3,serine,O18-label-2,col009b2_T1,2898.83,0.196661778
C3H7NO3,serine,O18-label-3,col009b2_T1,412.54,0.027987447
C4H9NO3,threonine,C12 PARENT,col009b2_T1,34915.28,0.837204128
C4H9NO3,threonine,O18-label-1,col009b2_T1,5719.47,0.13714236
C4H9NO3,threonine,O18-label-2,col009b2_T1,1069.87,0.025653513
C11H12N2O2,tryptophan,C12 PARENT,col009b2_T1,33933.08,0.929957508
C11H12N2O2,tryptophan,O18-label-1,col009b2_T1,2078.8,0.056970828
C11H12N2O2,tryptophan,O18-label-2,col009b2_T1,476.97,0.013071664
C9H11NO3,tyrosine,C12 PARENT,col009b2_T1,2986.96,0.910253363
C9H11NO3,tyrosine,O18-label-1,col009b2_T1,294.5,0.089746637
C9H11NO3,tyrosine,O18-label-2,col009b2_T1,0,0
C5H11NO2,valine,C12 PARENT,col009b2_T1,85312.67,0.728572496
C5H11NO2,valine,O18-label-1,col009b2_T1,29191.69,0.249297818
C5H11NO2,valine,O18-label-2,col009b2_T1,2591.29,0.022129686
C3H7NO2,alanine,C12 PARENT,col009b2_T2,878739.56,0.884965291
C3H7NO2,alanine,O18-label-1,col009b2_T2,74099.14,0.074624121
C3H7NO2,alanine,O18-label-2,col009b2_T2,40126.3,0.040410588
C6H14N4O2,arginine,C12 PARENT,col009b2_T2,9115.65,0.409556107
C6H14N4O2,arginine,O18-label-1,col009b2_T2,9049.64,0.40659035
C6H14N4O2,arginine,O18-label-2,col009b2_T2,4092.1,0.183853543
C4H8N2O3,asparagine,C12 PARENT,col009b2_T2,4593.7,0.386912182
C4H8N2O3,asparagine,O18-label-1,col009b2_T2,6171.36,0.519793274
C4H8N2O3,asparagine,O18-label-2,col009b2_T2,1107.66,0.093294544
C4H7NO4,aspartate,C12 PARENT,col009b2_T2,2684.88,0.3787795
C4H7NO4,aspartate,O18-label-1,col009b2_T2,1503.67,0.212135876
C4H7NO4,aspartate,O18-label-2,col009b2_T2,1842.29,0.25990796
C4H7NO4,aspartate,O18-label-3,col009b2_T2,728.32,0.102750471
C4H7NO4,aspartate,O18-label-4,col009b2_T2,329.08,0.046426193
C5H9NO4,glutamate,C12 PARENT,col009b2_T2,213148.05,0.307878512
C5H9NO4,glutamate,O18-label-1,col009b2_T2,264056.41,0.381412331
C5H9NO4,glutamate,O18-label-2,col009b2_T2,163894.19,0.236734511
C5H9NO4,glutamate,O18-label-3,col009b2_T2,39075.5,0.056442021
C5H9NO4,glutamate,O18-label-4,col009b2_T2,12138.05,0.017532625
C5H10N2O3,glutamine,C12 PARENT,col009b2_T2,342156.69,0.768411742
C5H10N2O3,glutamine,O18-label-1,col009b2_T2,76937.47,0.172785326
C5H10N2O3,glutamine,O18-label-2,col009b2_T2,25725.28,0.057773552
C5H10N2O3,glutamine,O18-label-3,col009b2_T2,458.36,0.00102938
C2H5NO2,glycine,C12 PARENT,col009b2_T2,8683.08,0.474390627
C2H5NO2,glycine,O18-label-1,col009b2_T2,8139.69,0.444703106
C2H5NO2,glycine,O18-label-2,col009b2_T2,1480.88,0.080906267
C6H9N3O2,histidine,C12 PARENT,col009b2_T2,261046.8,0.68567322
C6H9N3O2,histidine,O18-label-1,col009b2_T2,101482.37,0.266556585
C6H9N3O2,histidine,O18-label-2,col009b2_T2,18186.88,0.047770195
C6H13NO2,isoleucine,C12 PARENT,col009b2_T2,50656.43,0.500483674
C6H13NO2,isoleucine,O18-label-1,col009b2_T2,42363.02,0.418545086
C6H13NO2,isoleucine,O18-label-2,col009b2_T2,8195.5,0.08097124
C6H14N2O2,lysine,C12 PARENT,col009b2_T2,2435.81,0.368385631
C6H14N2O2,lysine,O18-label-1,col009b2_T2,2758.83,0.417238344
C6H14N2O2,lysine,O18-label-2,col009b2_T2,1417.48,0.214376025
C5H11NO2S,methionine,C12 PARENT,col009b2_T2,2952.86,0.210674941
C5H11NO2S,methionine,O18-label-1,col009b2_T2,3967.79,0.283086202
C5H11NO2S,methionine,O18-label-2,col009b2_T2,7095.54,0.506238857
C9H11NO2,phenylalanine,C12 PARENT,col009b2_T2,192384.27,0.597545026
C9H11NO2,phenylalanine,O18-label-1,col009b2_T2,89512.13,0.278024435
C9H11NO2,phenylalanine,O18-label-2,col009b2_T2,40061.38,0.124430539
C5H9NO2,proline,C12 PARENT,col009b2_T2,126300.13,0.811137986
C5H9NO2,proline,O18-label-1,col009b2_T2,21210.31,0.136219085
C5H9NO2,proline,O18-label-2,col009b2_T2,8196.89,0.05264293
C3H7NO3,serine,C12 PARENT,col009b2_T2,1872.65,0.078797161
C3H7NO3,serine,O18-label-1,col009b2_T2,11148.31,0.469097366
