AA,Isotope,T0A_1,T0A_2,T0B_1,T0B_2,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,T4_1,T4_2,T5_1,T5_2,T6_1,T6_2,T7_1,T7_2,T8_1,T8_2,T9_1,T9_2,T10_1,T10_2,T11_1,T11_2,T12_1,T12_2
proline,C12 PARENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.848893,1,0.421771,0.219081,0.616599,0.760607,0.489322,0.560253,0.32688,0.59648,0,0.274484,0.377789,0.414631
proline,O18-label-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151107,0,0.498706,0.696509,0.383401,0.239393,0.43892,0.396622,0.543843,0.360746,0.787841,0.546215,0.510029,0.514153
proline,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795233,0.0844103,0,0,0.071758,0.0431257,0.129277,0.0427745,0.212159,0.179302,0.112183,0.0712156
serine,C12 PARENT,1,1,1,1,1,1,1,1,1,0.906119,1,1,0.802012,0.83935,0.822644,0.780985,0.388046,0.346885,0,0.473954,0.427024,0.379165,0.510212,0,0.236019,0.222487,0.339318,0.259545
serine,O18-label-1,0,0,0,0,0,0,0,0,0,0.063567,0,0,0.197988,0.16065,0.139403,0.219015,0.611954,0.484887,0.669278,0.436224,0.371972,0.318041,0.489788,0.467127,0.188929,0.417004,0.417312,0.485225
serine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379532,0,0,0.137295,0.330722,0.0898213,0.176737,0.236496,0,0.532873,0.492919,0.300906,0.204564,0.238677
serine,O18-label-3,0,0,0,0,0,0,0,0,0,0.0303145,0,0,0,0,0,0,0,0.0309334,0,0,0.0242669,0.0662977,0,0,0.0821332,0.059603,0.0388056,0.0165527
valine,C12 PARENT,1,1,1,1,1,1,0.933475,1,1,1,1,1,0.927882,0.857951,0.936349,0.82658,0.275527,0.219783,0.461776,0.305831,0.36334,0.432251,0.3862,0.317524,0.193923,0.160451,0.378122,0.32245
valine,O18-label-1,0,0,0,0,0,0,0.0665247,0,0,0,0,0,0.0721185,0.142049,0.0636507,0.17342,0.555233,0.583809,0.444914,0.626101,0.436796,0.487566,0.453279,0.386685,0.543696,0.632825,0.303399,0.501654
valine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169241,0.196409,0.0933101,0.0680682,0.199864,0.0801837,0.160521,0.295791,0.262381,0.206723,0.318479,0.175896
tyrosine,C12 PARENT,1,1,1,1,1,1,1,1,1,1,1,1,0.986492,1,0.987898,1,0.870723,0.875866,0.939179,0.956561,0.903866,0.890117,0.855416,0.874487,0.947554,0.808753,0.529789,0.50216
tyrosine,O18-label-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0135077,0,0.0121023,0,0.109001,0.100362,0.0608212,0.0434386,0.0873918,0.109883,0.123828,0.090617,0,0.150211,0.376327,0.385296
tyrosine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202755,0.0237729,0,0,0.00874265,0,0.0207559,0.0348964,0.0524463,0.041036,0.0938845,0.112544
tyrosine,O18-label-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glutamine,C12 PARENT,0.947633,1,1,1,0.990804,0.989485,0.954269,0.954515,0.930776,0.921011,0.894048,0.897111,0.846493,0.850356,0.74594,0.745357,0.204623,0.214264,0.321966,0.329442,0.223447,0.228891,0.112152,0.137693,0.11265,0.118827,0.161185,0.162818
glutamine,O18-label-1,0.0523666,0,0,0,0.00919606,0.0105148,0.0428616,0.0454854,0.0641753,0.0772784,0.0974171,0.0991712,0.143201,0.137342,0.226773,0.224711,0.450439,0.427316,0.443912,0.46196,0.446009,0.466591,0.422596,0.411066,0.379005,0.392637,0.404327,0.401119
glutamine,O18-label-2,0,0,0,0,0,0,0,0,0.00504877,0.00171096,0.00853532,0.00371826,0.0103066,0.0123019,0.0272871,0.0280582,0.289657,0.293708,0.211719,0.185518,0.281513,0.256754,0.377467,0.361991,0.3888,0.379188,0.342399,0.338548
glutamine,O18-label-3,0,0,0,0,0,0,0.00286981,0,0,0,0,0,0,0,0,0.00187429,0.0552807,0.0647115,0.0224025,0.0230804,0.0490312,0.047764,0.0877849,0.0892503,0.119546,0.109348,0.0920896,0.0975158
tryptophan,C12 PARENT,1,1,1,1,0.937796,0.946738,1,1,0.917078,0.929583,1,1,0.913597,0.902098,0.867213,0.853372,0.509214,0.536896,0.680323,0.666419,0.587492,0.586857,0.51575,0.478369,0.390321,0.336465,0.385477,0.353258
tryptophan,O18-label-1,0,0,0,0,0.0622041,0.0532616,0,0,0.0829215,0.0704172,0,0,0.0864027,0.0979023,0.132787,0.146628,0.415145,0.368314,0.277835,0.281204,0.355698,0.327649,0.356865,0.391541,0.468603,0.486888,0.48062,0.508607
tryptophan,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756409,0.0947903,0.0418422,0.0523769,0.0568107,0.0854934,0.127385,0.13009,0.141075,0.176647,0.133903,0.138135
threonine,C12 PARENT,1,1,1,1,1,1,1,1,0.907428,1,1,1,0.873124,1,0.750782,0.877823,0.413444,0.237695,0.515819,0.505669,0.729846,0.320108,0.298615,0.30921,0.231567,0.32691,0.279401,0.307712
threonine,O18-label-1,0,0,0,0,0,0,0,0,0.0925722,0,0,0,0.126876,0,0.249218,0.122177,0.433017,0.606211,0.447197,0.383836,0.119579,0.623113,0.416379,0.513624,0.582703,0.53611,0.616685,0.576739
threonine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153539,0.156095,0.036984,0.110495,0.150575,0.0567795,0.285006,0.177166,0.18573,0.13698,0.103915,0.11555
threonine,O18-label-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methionine,C12 PARENT,1,1,1,1,1,1,1,0.662783,1,0.773418,1,1,1,0.568905,0.559222,1,0.0949058,0.14003,0.375163,0.3302,0.19354,0.641525,1,1,0.11588,0.197436,0.236823,0.223443
methionine,O18-label-1,0,0,0,0,0,0,0,0.337217,0,0.226582,0,0,0,0.431095,0.440778,0,0.511159,0.476233,0,0.387716,0.80646,0.358475,0,0,0.541108,0.448079,0.544331,0.504642
methionine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393935,0.383737,0.624837,0.282084,0,0,0,0,0.343011,0.354484,0.218846,0.271915
glycine,C12 PARENT,1,1,0.994954849,1,1,1,0.996102434,1,0.997824147,1,1,0.99744491,0.991987904,0.996311583,0.984740241,0.995214156,0.718425153,0.795575112,0.832326917,0.8823102,0.846106693,0.863895941,0.800011813,0.806020537,0.625553017,0.866975286,0.525650669,0.462286499
glycine,O18-label-1,0,0,0.005045151,0,0,0,0.003897566,0,0.002175853,0,0,0.00255509,0.008012096,0.003688417,0.015259759,0.004785844,0.251950748,0.182592322,0.159515507,0.1176898,0.137318325,0.126994673,0.174512238,0.169363823,0.320063041,0.098585828,0.377396998,0.463454201
glycine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029624099,0.021832566,0.008157576,0,0.016574982,0.009109386,0.025475949,0.02461564,0.054383943,0.034438886,0.096952333,0.0742593
