"Name","AA","Total","Sample","C12 PARENT","O18-label-1","O18-label-2","O18-label-3","O18-label-4"
"Glycine","G",2,"col009b_T7",0.20700262,0.463830554,0.329166826,NA,NA
"Glycine","G",2,"col009b_T8",0.221659644,0.48051961,0.297820746,NA,NA
"Isoleucine","I",2,"col009b_T0",0.996317846,0.002736037,0.000946,NA,NA
"Isoleucine","I",2,"col009b_T1",0.694733791,0.16955055,0.135715659,NA,NA
"Isoleucine","I",2,"col009b_T2",0.529676203,0.258609059,0.211714738,NA,NA
"Isoleucine","I",2,"col009b_T3",0.483621297,0.350568637,0.165810066,NA,NA
"Isoleucine","I",2,"col009b_T4",0.435329591,0.350779925,0.213890484,NA,NA
"Isoleucine","I",2,"col009b_T5",0.403885554,0.385137478,0.210976968,NA,NA
"Isoleucine","I",2,"col009b_T6",0.431204537,0.363281047,0.205514417,NA,NA
"Isoleucine","I",2,"col009b_T7",0.364497619,0.406417543,0.229084838,NA,NA
"Isoleucine","I",2,"col009b_T8",0.294720383,0.405166151,0.300113466,NA,NA
"Lysine","K",2,"col009b_T0",0.996372755,0.002315213,0.001312032,NA,NA
"Lysine","K",2,"col009b_T1",0.900434539,0.082980462,0.016584998,NA,NA
"Lysine","K",2,"col009b_T2",0.719938916,0.217055544,0.063005539,NA,NA
"Lysine","K",2,"col009b_T3",0.55509284,0.353333692,0.091573467,NA,NA
"Lysine","K",2,"col009b_T4",0.366639569,0.462335828,0.171024603,NA,NA
"Lysine","K",2,"col009b_T5",0.234128106,0.485879003,0.279992891,NA,NA
"Lysine","K",2,"col009b_T6",0.143154188,0.512553613,0.344292199,NA,NA
"Lysine","K",2,"col009b_T7",0.107282448,0.45495363,0.437763922,NA,NA
"Lysine","K",2,"col009b_T8",0.084399396,0.469458073,0.446142531,NA,NA
"Methionine","M",2,"col009b_T0",0.997648893,0.002351107,0,NA,NA
"Methionine","M",2,"col009b_T1",0.355208842,0.255968721,0.388822437,NA,NA
"Methionine","M",2,"col009b_T2",0.321710609,0.160855121,0.51743427,NA,NA
"Methionine","M",2,"col009b_T3",0.387532055,0.154022943,0.458445002,NA,NA
"Methionine","M",2,"col009b_T4",0.344091514,0.169604047,0.486304439,NA,NA
"Methionine","M",2,"col009b_T5",0.391044853,0.16590596,0.443049187,NA,NA
"Methionine","M",2,"col009b_T6",0.389932639,0.215750921,0.39431644,NA,NA
"Methionine","M",2,"col009b_T7",0.19647644,0.253530614,0.549992947,NA,NA
"Methionine","M",2,"col009b_T8",0.159756215,0.268907881,0.571335904,NA,NA
"Phenylalanine","F",2,"col009b_T0",0.997217817,0.002539896,0.000242,NA,NA
"Phenylalanine","F",2,"col009b_T1",0.73642047,0.197123941,0.066455589,NA,NA
"Phenylalanine","F",2,"col009b_T2",0.575867555,0.28684658,0.137285865,NA,NA
"Phenylalanine","F",2,"col009b_T3",0.474181454,0.334216564,0.191601982,NA,NA
"Phenylalanine","F",2,"col009b_T4",0.442157693,0.336346092,0.221496215,NA,NA
"Phenylalanine","F",2,"col009b_T5",0.367436411,0.360493771,0.272069818,NA,NA
"Phenylalanine","F",2,"col009b_T6",0.214090753,0.408725112,0.377184135,NA,NA
"Phenylalanine","F",2,"col009b_T7",0.140544417,0.407284308,0.452171275,NA,NA
"Phenylalanine","F",2,"col009b_T8",0.107611902,0.392628998,0.4997591,NA,NA
"Proline","P",2,"col009b_T0",0.99872176,0.00127824,0,NA,NA
"Proline","P",2,"col009b_T1",0.640924009,0.25049869,0.108577301,NA,NA
"Proline","P",2,"col009b_T2",0.476021505,0.327977657,0.196000837,NA,NA
"Proline","P",2,"col009b_T3",0.422046453,0.340228556,0.237724991,NA,NA
"Proline","P",2,"col009b_T4",0.33840814,0.363058634,0.298533226,NA,NA
