"Protein_ID","XLA_Gene","Human_Gene","kD","HL_Hrs","Estimate","T9_kD","T10_kD","deltaBIC","T0_L","N2","N4","N6","N8","N10","N11","T0_H","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","mClass","Number_Pep_Fits"
"XBmRNA48969|XBXL10_1g26175"," odc1.S","ODC1",0.01636520339552,0.70591563881784,"point",NA,0.01636520339552,30.1828864366154,0.605993363086173,1.06070096154872,1.0597994425698,1.06062749308411,0.593698799664721,1.12144347088128,1.4977364691652,4.83707939113643,3.89269861926667,1.60462606114599,0.4356521945689,0.503190209467488,0.476127910846411,0,0,0.0226558496431728,0,0,0.227969763924943,"Deg",1
"XBmRNA18031|XBXL10_1g9676"," mkrn3.S","MKRN1",0.00669079864284642,1.72661794592846,"point",0.00669079864284642,NA,30.070415999067,1.77881978893221,1.42514023139819,1.84235303641257,0.977951795677316,0.306165561752703,0.338670105319181,0.330899480507825,3.6233249749421,2.31257470567811,2.40442084882736,1.46035475028329,0.660430038541489,0.491562478043682,0.168231691551269,0.108968453887249,0.187795370570558,0.217900873634855,0.173685804390846,0.190750009649197,"Deg",1
"XBmRNA63717|XBXL10_1g33737"," LOC108697796","OTOGL",0.00546824720939371,2.11264278423384,"point",0.00546824720939371,NA,36.2811018206489,0.710809568615489,0.587556643617541,0.725899747183294,1.00682867511295,1.37159755776777,1.3318799792587,1.26542782844426,3.02204366611218,2.92316227860198,2.14361539847493,1.56294460672292,0.92270632263171,0.419143249132278,0.0857660385202756,0.135173814510159,0.323854850547065,0.213846304476515,0.121296253142719,0.126447217127277,"Deg",1
"XBmRNA64557|XBXL10_1g34224"," pou5f3.3.L","POU3F2",0.00544084904155768,2.12328129692513,"point",0.00544084904155768,NA,35.4807739050594,3.14452485441837,2.08832772518688,1.05262022010568,0.185218648658413,0.145445453931057,0.201984679849599,0.181878417849997,3.37138919677597,2.37770586456274,2.57161508282132,1.6405517043182,0.767178760868782,0.55827663380312,0.118476374450752,0.205411032578172,0.149709460694756,0.0742354380651401,0.0580473857528437,0.107403065308195,"Deg",1
"XBmRNA34126|XBXL10_1g18541"," LOC398156","PTTG1",0.00512761023962095,2.25298969100008,"interval",0.00533490987715717,0.00492031060208473,58.0564401617314,1.71747416103752,1.87857216376058,1.63927019067557,0.569323962939559,0.330383577419346,0.436540153985042,0.42843579018238,3.22239961118102,2.84671162443198,2.513727899707,1.63516818950363,1.0852577696481,0.549435425457753,0.042531176072582,0.00365346834933214,0.0318003843809462,0.0361720048429593,0,0.0331424464246937,"Deg",3
"XBmRNA23143|XBXL10_1g12383"," fgfr4.L","FGFR2",0.00471519692380216,2.45004677344779,"point",0.00471519692380216,NA,31.5268607174015,0.76132060977392,0.86856145714371,0.716824953295147,1.68476195513899,0.662597591155083,1.0728950249826,1.23303840851055,2.97646422199556,2.50207067397928,2.81697558446451,1.69032705218769,0.892857723596153,0.547496240092995,0,0,0,0,0.319303563750798,0.254504939933017,"Deg",1
"XBmRNA42291|XBXL10_1g22694"," mixer.L","MIXL1",0.00455015131211419,2.53891622869233,"point",NA,0.00455015131211419,21.3576785720573,1.46584858015896,2.4257333116512,2.73674442821616,0.370883512271227,0,0,0.00079016770245479,2.61803985529774,2.89499841744707,3.31537275454428,1.28682976309738,1.2361852050878,0.510843157558882,0,0,0,0.00143972300432168,0.10690533555374,0.0293857884087906,"Deg",1
"XBmRNA35507|XBXL10_1g19214"," ccnb1.2.L","CCNB1",0.00443207006614999,2.60655920075914,"interval",0.00351151836147797,0.005352621770822,24.6061391025958,1.2695463866222,1.36110902079532,1.32144359990543,0.839494597081556,0.731325671996556,0.75642378502016,0.720656938578777,2.77900328270571,2.3968831971634,2.11815916615684,1.4848343153799,0.877489794500178,0.56305211736865,0.299331041350685,0.220760394245947,0.361864256305282,0.308515906321479,0.271289458140537,0.318817070361399,"Deg",4
"XBmRNA9998|XBXL10_1g5361"," kmt5a.S","",0.00436523293268516,2.64646885686951,"interval",0.0041930174211017,0.00453744844426861,41.7580001544329,1.04507169480143,1.13872858757451,1.62624610230851,1.34778431974967,0.633952308688265,0.589882334006915,0.618334652870697,2.86422117514504,2.56349148573482,2.25138580695993,1.72423061016598,0.983033916831672,0.620385657397931,0.112587449569064,0.134403442796298,0.164147181310137,0.160222422188332,0.187684682438966,0.234206169461831,"Deg",2
"XBmRNA1720|XBXL10_1g1100"," ccna2.L","CCNA2",0.00410031703023804,2.81745360764501,"interval",0.00440111003952031,0.00379952402095577,63.5610957483343,1.0115096798261,1.20803874869463,1.08309309956253,1.03684733769385,0.851680225694838,0.913283415708242,0.895547492819811,2.967615582735,2.62177535227656,2.52733034625465,1.9217172559024,1.10817746558197,0.702217796886105,0.0577928308330815,0,0,0.0219484603009633,0.0204421715524904,0.0509827376767706,"Deg",2
"XBmRNA70798|XBXL10_1g37505"," pou5f3.1.S","POU5F1",0.00378609549934257,3.05128410293359,"interval",0.00311489213776637,0.00445729886091878,22.1282086914828,0.61655707446801,0.766118739868256,2.18993541387064,3.11558933002619,0.269293867696268,0.0425055740706394,0,2.53351910043855,2.58038551494019,3.1853641451355,1.52050886098193,1.05330980368938,0.761436008817226,0,0.12248644298856,0.00688536739909987,0,0.0857835521306512,0.15032120347893,"Deg",2
"XBmRNA79355|XBXL10_1g42215"," cdc6.S","CDC6",0.00377900867179219,3.05700621847308,"interval",0.0035541478371565,0.00400386950642787,49.3535684843503,2.40282439175587,2.39557917390227,1.5664721647202,0.243640598682355,0.0860721100203139,0.128197809526995,0.177213751391992,2.87765250147941,2.45760829648918,2.38119718270077,2.05196109184233,1.17937576269965,0.647346616283439,0.0763987311248914,0.0571781388333358,0.0467465857216405,0.0619619089218942,0.0420364640501272,0.120536719853332,"Deg",14
"XBmRNA24929|XBXL10_1g13159"," ccnb2.L","CCNB2",0.00372103003430872,3.10463847451277,"point",0.00372103003430872,NA,23.4345800547162,1.17834215636293,1.22635304839378,1.23184875216365,1.10088585995111,0.843147507596518,0.725042318622004,0.694380356910017,2.50118084589349,2.3052454225555,2.57932151363139,1.47984136898947,0.992521323715648,0.663353917628876,0.197711083675717,0.234405986170848,0.203698033525841,0.306666697181991,0.271388234099567,0.264665572931668,"Deg",2
"XBmRNA66382|XBXL10_1g35158"," sox3.L","SOX3",0.00370070370573942,3.12169088041708,"point",0.00370070370573942,NA,41.0141427882916,1.48538423736727,1.28300414602461,1.02400081104144,0.721761885472515,0.568071645433856,0.904502595137007,1.0132746795233,2.97866245707657,2.43768163475235,2.36868340504063,2.07414118833564,0.905266121977298,0.901986761360956,0.177645710978119,0,0,0.000357645483837807,0.0164741878570576,0.139100887137546,"Deg",1
"XBmRNA34319|XBXL10_1g18654"," cdt1.L","CDT1",0.00367952287058647,3.13966060699906,"interval",0.00292774022519385,0.00443130551597908,7.47602651543334,0.945703836032724,1.31916456257572,1.17041415212913,0.835376986746365,0.644179102844582,0.935000492994991,1.15016086667649,2.37687837334098,2.12260845888111,1.77885682345024,1.31832911556059,0.87809793526104,0.785481549107907,0.549891704581146,0.45376635139087,0.446911501217424,0.417966203225119,0.414676306549688,0.456535677433887,"Deg",5
"XBmRNA73542|XBXL10_1g38971"," cdc6.L","CDC6",0.00364203910099128,3.171973910491,"point",NA,0.00364203910099128,63.2335347453513,2.09809735550817,2.39304598392084,1.69530487707297,0.335918878461164,0.12146252009972,0.148342769467328,0.207827615469804,2.77198172604347,2.64778179052,2.43911041263212,1.80866054818509,1.26508844777288,0.853147105978635,0.0559301540300082,0,0.0528066971286352,0.0430342164449635,0.0101421391623403,0.0523167621018586,"Deg",2
"XBmRNA1670|XBXL10_1g1076"," sclt1.L","SCLT1",0.00361582427074133,3.19497081282766,"interval",8.80123924463467e-05,0.00714363614903631,-39.8517644653719,1.39829204220909,0.84100610143589,0.998360839809767,0.961127343843404,0.84379289843395,0.935684436351214,1.02173633791668,1.44055478126578,1.08037490894857,1.11530161883581,1.08373707251403,1.21496025129735,0.820705868576863,0.924111091656231,0.789206723059281,0.833047114477705,0.831369853796539,1.00098546009298,0.865645255478862,"Flat",4
"XBmRNA10569|XBXL10_1g5638"," ccnb1.S","CCNB1",0.00356701170302401,3.23869220825337,"interval",0.00334822871660245,0.00378579468944556,33.1888292401164,2.25400050900936,2.10910791901067,1.56939384789836,0.451311288560637,0.168121149966158,0.187754729796023,0.260310555758788,2.65398785878759,2.41116609727883,2.04643978737345,1.75545658617769,1.07500746352183,0.716877979080276,0.276826002809,0.167518923879417,0.2187248844665,0.160044162102933,0.244071920612842,0.273878333909637,"Deg",2
"XBmRNA26253|XBXL10_1g13821"," notch3.L","NOTCH2",0.00354248729852917,3.2611134594975,"point",NA,0.00354248729852917,21.0407728040728,0.256834520273693,0.268845895179582,0.425109204607512,1.00966375227764,1.10601453297569,1.77060056503479,2.16293152965109,2.49965824949298,2.99313798853945,2.54616815685648,1.24576210582887,1.18973456046672,1.03151262118975,0,0,0.00309159279963965,0.490934724826119,0,0,"Deg",1
