"Protein_ID","XLA_Gene","Human_Gene","kD","HL_Hrs","Estimate","T5_kD","T6_kD","deltaBIC","T0_L","N1","N3","N4","N7","N9","N11","N12","T0_H","O1","O2","O3","O4","O5","O7","O9","O10","O11","O12","mClass","Number_Pep_Fits"
"XBmRNA10569|XBXL10_1g5638"," ccnb1.S","CCNB1",0.0581798133290091,0.19856462831881,"interval",0.0519690523796752,0.064390574278343,59.780064710828,1.71472736205694,1.08937517165921,1.10906627682896,1.24116653292765,1.82807032523025,0.929444286154244,0.0646833636228579,0.0234666815198843,9.47934928032351,0.60877827951232,0,0.204616026638023,0.169055648773252,0.157008737379764,0.138013975393753,0.0653146580738665,0.145700238399692,0.0321631555058161,0,"Deg",2
"XBmRNA35507|XBXL10_1g19214"," ccnb1.2.L","CCNB1",0.0523610687042581,0.220630580987224,"point",NA,0.0523610687042581,19.0239957345214,0.571523204528856,0.316732229190175,0.41223208145435,0.427013667047041,1.8856944920935,1.6767599806935,1.13389466861374,1.57614967637884,6.4157116715581,0.315778481641224,0.057608274640821,0.406918254223722,0.604225571020724,0.448711745443243,0.515676111589992,0.499820062755916,0.241075515731583,0.745122837690555,0.749351473704116,"Deg",1
"XBmRNA34126|XBXL10_1g18541"," LOC398156","PTTG1",0.050559616743306,0.228491704515579,"point",NA,0.050559616743306,53.5240239217261,0.759363103423131,0.274159100290304,0.355865548632635,0.443692984769189,1.95378167758785,1.95445907235236,0.69835988635628,1.56031862658826,9.30315636827368,0.530616098595151,0,0.123416141162463,0.236599679584435,0.181843347215374,0.156910775529815,0,0,0.180128090354581,0.287329499284504,"Deg",1
"XBmRNA40199|XBXL10_1g21682"," ccnb1.2.S","CCNB1",0.0486013943553679,0.237697974771304,"point",0.0486013943553679,NA,16.6960857507539,0.812225659716638,0.581642846564733,0.508315224902309,0.378900974156726,1.00243339996275,1.50784144852385,1.53953923336094,1.66910121281206,6.06150567167289,0.532192090106428,0.207402205260044,0.402901097384652,0.336726152730203,0.261815926417181,0.771669054942828,0.500814169320107,0.438895713668026,0.483127431022192,1.00295048747545,"Deg",1
"XBmRNA1720|XBXL10_1g1100"," ccna2.L","CCNA2",0.034713134578276,0.332797747875011,"point",NA,0.034713134578276,50.2964791992135,0.371958469060429,0.249006708082323,0.349872449861592,0.331583285411452,1.45367139412518,1.20658237421531,1.33815842233295,2.69916689691077,8.53809150320785,1.22394871131152,0,0.26040063202011,0.224538516965265,0.155933999845186,0.225801670332398,0.170488237370474,0.130481544998521,0.0703151839486747,0,"Deg",1
"XBmRNA20588|XBXL10_1g10943"," ccna1.S","CCNA1",0.0340412681485979,0.339366117587139,"interval",0.0283820367019241,0.0397004995952717,51.6211057543016,2.11041947574272,1.55238405743427,1.71356973992191,1.72058965367819,0.806915594036656,0.0777737524729589,0.0182926916290823,5.50350842223916e-05,8.39920893843345,1.32927527865084,0.244737307094505,0.314550731711544,0.287951735922286,0.0893861389951089,0.143536769568897,0,0,0.111681002289809,0.0796720973335607,"Deg",3
"XBmRNA79044|XBXL10_1g42043"," kif22.L","KIF22",0.014209580717848,0.813004495961089,"interval",0.012470011355444,0.015949150080252,43.9878869027238,0.6455240028681,0.668287842705701,0.680002478460054,0.691966541221973,1.33184482705047,1.45747830756895,1.06043793697175,1.464458063153,5.81004620695286,2.83719636591279,1.01866195147209,0.343296114178326,0.259554581806203,0.236127600877587,0.186606643194299,0.103892963267018,0.0609977216607779,0.105341864650854,0.0382779860271951,"Deg",5
"XBmRNA83366|XBXL10_1g44357"," kif22.S","KIF22",0.0113377716192554,1.01893506037045,"interval",0.007857786101689,0.0148177571368219,13.8378483774822,0.461667365365253,0.614529119253018,0.51426894304204,0.555875189247714,1.24977030694329,1.44400031118181,1.42266331467821,1.73722545028867,4.59623883903744,2.09171087418746,0.789358690036936,0.422176386323659,0.301360370611559,0.840400991277137,0.237771479378841,0.262477384403768,0.165071628956428,0.650223054419888,0.64321030136689,"Deg",3
"XBmRNA51997|XBXL10_1g27704"," gmnn.L","GMNN",0.00936327917209816,1.23380418302146,"interval",0.00787626389431587,0.0108502944498805,50.5963747674114,1.35579343388224,1.48078133679004,1.14012837014654,0.955781070564118,0.873867630964653,0.800563251877713,0.480885420497105,0.912199485277584,5.15907478873151,3.38400499772883,1.74979099247887,0.373339187724187,0.0773890662269767,0.0618511791974351,0.0595596913634126,0.0208583759818658,0.0539420689900258,0.0387194193596807,0.0214702322172037,"Deg",6
"XBmRNA19337|XBXL10_1g10352"," wsb1.S","WSB1",0.00907929587205765,1.2723952575316,"interval",0.00776065162426978,0.0103979401198455,31.1112311787977,0.364533602880111,0.492722644678311,0.490059415423244,0.536194976862585,0.556340517396323,0.683546428708212,2.06546305741583,2.81113935663539,4.95643930150346,3.66845205801144,1.56548023937794,0.132196473818536,0.142682616698835,0.164036074223195,0.195307798792853,0,0.0100411331714578,0.163969377029773,0.00139492737250844,"Deg",2
