"Protein_ID","Gene_Symbol","kD","HL_Hrs","Estimate","T6_kD","T7_kD","deltaBIC","T0_L","N13","N14","N15","N16","T0_H","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","O12","mClass"
"Q9VFD5","CG6966",0.0153947107830444,0.750417021283451,"point",0.0153947107830444,NA,7.83236949130636,1.43044303173964,0.365335754001812,0.671976974948421,1.3041889481891,1.22805529112103,3.36539596005709,2.68861696845026,1.14432169152932,0.877616729267365,0.717322169438947,0.48337202272722,0.60237763303422,0.4890449845021,0.596307956192051,0.571943819656008,0.53627164947174,0.388916847664493,0.53849156800919,"Deg"
"Q9VMA3","cup",0.0148621629580774,0.777306307427737,"interval",0.0153826961356947,0.0143416297804601,10.631889560343,3.14950873214881,0.641627265785829,0.416480724899054,0.395221988046797,0.397161289119511,3.77854886982873,2.66396148943041,1.14943207923312,0.964486444798552,0.612261067720258,0.526624435725614,0.475834645157682,0.54891992986636,0.485447494123997,0.430668787230879,0.415951360940665,0.455053216023935,0.4928101799198,"Deg"
"Q8IPM1","srl",0.01408817638487,0.820010531791694,"point",NA,0.01408817638487,11.704248097842,1.70630333646844,0.533261648939177,1.46375426394226,0.976997156630458,0.319683594019658,3.14134923626149,2.95243481849236,1.4054081554967,1.11086081068542,0.688589079153678,0.714499736194016,0.368934440399644,0.579876403362949,0.553889197469868,0.365261452715599,0.469448094673826,0.284886112111266,0.364562462983192,"Deg"
"Q9VED4","bard",0.0126494075586177,0.913280163975902,"point",NA,0.0126494075586177,23.4473885440718,2.82275523910503,1.71160336364583,0.211446825783941,0.123099448075885,0.131095123389313,4.38000532108883,2.50800186498009,1.9526738590688,1.77295405613188,0.796026860894838,0.439082821494218,0.270537911521884,0.247484776701637,0.131826471720156,0.157070810267467,0.121919686003437,0.105345701269686,0.117069858857069,"Deg"
"P09085","cad",0.012170436669482,0.949222556516874,"point",NA,0.012170436669482,19.8663793711053,2.21589621921322,1.07096356514389,0.54441902681243,0.512712238858217,0.65600894997224,3.62758238686743,2.95155909251885,2.06322509474045,1.08042699596324,0.564867266065527,0.56536165943904,0.328962168451555,0.346107328594777,0.320194847376147,0.256572744004718,0.285883831703163,0.342918694779275,0.266337889495826,"Deg"
"Q9VNG1","CG2182",0.0119198010052622,0.969181700620039,"interval",0.0118244051161736,0.0120151968943507,18.057844384587,1.14168557660565,1.07252228572381,1.04956652428999,0.921210939782796,0.815014673597747,3.07593780158994,2.79107402647008,1.87109283975991,1.20948899444332,0.764654721723892,0.63872892619054,0.485298032528239,0.414446580577936,0.40462151663834,0.369773054015841,0.391187316610773,0.293690450070409,0.290005739380789,"Deg"
"A1ZAP7","Mov10",0.0118469228079817,0.975143773330665,"interval",0.0130668117216001,0.0106270338943634,13.1049458459316,2.96723006579475,0.818071064487367,0.460134226147979,0.359885247323028,0.394679396246874,3.4442158246026,2.29884433676051,1.42742176315592,1.2452598341734,0.835320040433498,0.59457318503967,0.507282945356498,0.531215932133948,0.416826876948942,0.407130845948894,0.436560412907792,0.408174057363116,0.447173945175214,"Deg"
"Q9VHK8","aqz",0.0116713175640302,0.989815669563808,"interval",0.012672558973003,0.0106700761550575,18.8678531167735,1.3960566813809,1.03935547990119,1.11087926937551,0.810613315612593,0.643095253729807,3.24436531990917,3.3941862918179,2.28283700512426,1.09975470925113,0.810538162745153,0.47131664543001,0.376776926205476,0.295329765465699,0.231088970460152,0.209491103589376,0.23042675990765,0.169187687878315,0.184700652215704,"Deg"
"P23128","me31B",0.0113265160221682,1.01994761555292,"interval",0.00919974125217355,0.0134532907921629,4.44080271777342,2.28442534175709,0.742170420831915,0.688198609113116,0.708121523214824,0.577084105083055,3.21671305515748,2.01307505235384,1.14102267694508,1.05897904471019,0.854818135688233,0.741773761105061,0.689322189597555,0.673019231369352,0.598572255259951,0.549250418754399,0.497155765663615,0.506118607357013,0.460179806038234,"Deg"
"Q9VUF3","Gbs-70E",0.0110111330484816,1.04916114976247,"interval",0.0103522979067996,0.0116699681901636,24.0589750229221,1.36238779072654,1.43541852720533,1.34276597278962,0.544848442557774,0.314579266720744,3.05976542059888,2.62530821308957,2.56057482521355,1.79673000888604,0.953897493243047,0.579344009171159,0.350057089587973,0.274703336365731,0.189817203321896,0.199313078523732,0.165713550553982,0.1088848958403,0.135890875604132,"Deg"
"P14785","CycA",0.0107084238325853,1.07881917917544,"interval",0.00958804337986206,0.0118288042853086,26.9371942134852,1.36870505808388,1.45800564768902,1.52252786820856,0.411657750282056,0.239103675736478,2.9780969051865,2.45710919008638,1.66338241438316,1.7708354453782,1.32817245678483,0.900183810596869,0.534725149131777,0.38106303049439,0.271402601304277,0.213005123624634,0.191481121517104,0.180018719867418,0.130524031644461,"Deg"
"Q9VUI0","gnu",0.0104835474123755,1.10196029596768,"interval",0.0109248041483567,0.0100422906763942,11.9582368754643,2.88409388995914,0.815116152892015,0.514646850607725,0.359139381733471,0.427003724807646,3.06693155508118,2.6800174039684,1.60244431136811,1.19966231471832,0.691291048373072,0.487054414479665,0.444640890686546,0.482285344339901,0.525104559293713,0.43445454021613,0.520159646638916,0.378445264049241,0.487508706786813,"Deg"
"Q0KHV6","Pink1",0.0102919153382364,1.12247843376761,"point",NA,0.0102919153382364,22.6018361320435,2.23295552121373,1.42280135784675,0.466586038586994,0.428421763555696,0.449235318796828,3.48121291204472,3.00777455587747,2.48479506718123,1.62789512875057,0.737602565356243,0.390843165059095,0.299196621486241,0.149276966333502,0.133385480416131,0.142946622507013,0.187163445959778,0.194724964767374,0.163182504260634,"Deg"
"Q9VYS4","wisp",0.0102619425970783,1.1257569315016,"interval",0.0118194484091551,0.00870443678500153,8.8747781742999,2.84277703882989,0.785946759616425,0.435298303058507,0.439887711217046,0.496090187278128,2.97976054044903,2.8288118266331,1.42724347758564,1.02848029024218,0.69900197102729,0.608898488870565,0.499636692556515,0.542050031227244,0.539584232888347,0.482066703202841,0.429464684237012,0.474183124307506,0.46081793677273,"Deg"
"P20439","CycB",0.0100756662340147,1.14656964026183,"interval",0.00989485526718466,0.0102564772008447,22.2555407072733,1.76531487722357,1.4309158110838,1.04266629467923,0.382503572953326,0.378599444060075,3.28801804592845,2.53957983899903,1.83740218565225,1.43344961819483,1.0178269472037,0.616863896693414,0.449928465852469,0.382249963796646,0.329025781007603,0.300017653248926,0.285895894439747,0.267138079637027,0.252603629345903,"Deg"
